Zeitraum_von,Zeitraum_bis,gaeste_ankuenfte,uebernachtungen,durchschnittl_aufenthaltsdauer_Tage
1991-05-01,1991-10-31,122883,254522,2.07
1991-11-01,1992-04-30,90016,181349,2.01
1992-05-01,1992-10-31,116379,253281,2.18
1992-11-01,1993-04-30,78838,158918,2.02
1993-05-01,1993-10-31,110619,236326,2.14
1993-11-01,1994-04-30,75409,159882,2.12
1994-05-01,1994-10-31,112358,239034,2.13
1994-11-01,1995-04-30,78842,176584,2.24
1995-05-01,1995-10-31,116638,255216,2.19
1995-11-01,1996-04-30,82325,173438,2.11
1996-05-01,1996-10-31,115688,239727,2.07
1996-11-01,1997-04-30,83858,159837,1.91
1997-05-01,1997-10-31,121593,236839,1.95
1997-11-01,1998-04-30,87329,164462,1.88
1998-05-01,1998-10-31,122024,237800,1.95
1998-11-01,1999-04-30,87092,157255,1.81
1999-05-01,1999-10-31,121806,232623,1.91
1999-11-01,2000-04-30,92012,162664,1.77
2000-05-01,2000-10-31,127159,247603,1.95
2000-11-01,2001-04-30,91383,170499,1.87
2001-05-01,2001-10-31,132011,250058,1.89
2001-11-01,2002-04-30,94376,172083,1.82
2002-05-01,2002-10-31,130211,248723,1.91
2002-11-01,2003-04-30,91230,167402,1.83
2003-05-01,2003-10-31,132592,260399,1.96
2003-11-01,2004-04-30,88636,171878,1.94
2004-05-01,2004-10-31,128829,256136,1.99
2004-11-01,2005-04-30,88352,165605,1.87
2005-05-01,2005-10-31,147214,296234,2.01
2005-11-01,2006-04-30,90977,173557,1.91
2006-05-01,2006-10-31,149661,296570,1.98
2006-11-01,2007-04-30,101985,194161,1.9
2007-05-01,2007-10-31,150391,287538,1.91
2007-11-01,2008-04-30,103413,195186,1.89
2008-05-01,2008-10-31,155195,303210,1.95
2008-11-01,2009-04-30,91934,184459,2.01
2009-05-01,2009-10-31,157999,304736,1.93
2009-11-01,2010-04-30,100476,186844,1.86
2010-05-01,2010-10-31,169323,328434,1.94
2010-11-01,2011-04-30,109241,209573,1.92
2011-05-01,2011-10-31,185648,350090,1.89
2011-11-01,2012-04-30,112498,216579,1.93
2012-05-01,2012-10-31,187665,357911,1.91
2012-11-01,2013-04-30,115804,226757,1.96
2013-05-01,2013-10-31,191442,380578,1.99
2013-11-01,2014-04-30,126106,256328,2.03
2014-05-01,2014-10-31,197935,387917,1.96
2014-11-01,2015-04-30,131496,267804,2.04
2015-05-01,2015-10-31,207055,407366,1.97
2015-11-01,2016-04-30,136701,265111,1.94
2016-05-01,2016-10-31,215271,405897,1.89
2016-11-01,2017-04-30,140382,277684,1.99
2017-05-01,2017-10-31,214514,432753,2.01
2017-11-01,2018-04-30,148248,314426,2.0
2018-05-01,2018-10-31,234519,480515,2.01
2018-11-01,2019-04-30,157853,343779,2.2
2019-05-01,2019-10-31,254717,515806,2.03
