Datum,Feiertag
2013-12-25,1. Weihnachtstag
2013-12-26,2. Weihnachtstag
2014-01-01,Neujahrstag
2014-04-18,Karfreitag
2014-05-01,Tag der Arbeit / 1. Mai
2014-12-25,1. Weihnachtstag
2014-12-26,2. Weihnachtstag
2015-01-01,Neujahrstag
2015-04-03,Karfreitag
2015-05-01,Tag der Arbeit / 1. Mai
2015-12-25,1. Weihnachtstag
2015-12-26,2. Weihnachtstag
2016-01-01,Neujahrstag
2016-03-25,Karfreitag
2016-12-25,1. Weihnachtstag
2016-12-26,2. Weihnachtstag
2017-01-01,Neujahrstag
2017-04-14,Karfreitag
2017-05-01,Tag der Arbeit / 1. Mai
2017-10-31,Reformationstag
2017-12-25,1. Weihnachtstag
2017-12-26,2. Weihnachtstag
2018-01-01,Neujahrstag
2018-03-30,Karfreitag
2018-05-01,Tag der Arbeit / 1. Mai
2018-05-21,Pfingstmontag
